"Название";"Цена";"Двигатель";"Комплектация";"Коробка передач";"Мощность";"Поколение";"Привод";"Пробег";"Руль";"Тип кузова";"Цвет";"Особые отметки";"url"
"Продажа Toyota RAV4, 2005 год в Иркутске";"1149000.0";"бензин, 1.8 л";"1.8 L X G package";"АКПП";"125 л.с.";"2 поколение, рестайлинг";"передний";"195570.0";"правый";"джип/suv 5 дв.";"золотистый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/345604737.html"
"Продажа Toyota RAV4, 2007 год в Иркутске";"1370000.0";"бензин, 2.4 л";"2.4 AT Sol";"АКПП";"170 л.с.";"3 поколение";"4WD";"254000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/778524522.html"
"Продажа Toyota RAV4, 2021 год в Иркутске";"3500000.0";"бензин, 2.5 л, гибрид";"2.5h CVT 4WD Black Edition";"вариатор";"178 л.с.";"5 поколение";"4WD";"47000.0";"левый";"джип/suv 5 дв.";"коричневый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/819892223.html"
"Продажа Toyota RAV4, 2004 год в Иркутске";"780000.0";"бензин, 2.4 л";"";"автомат";"170 л.с.";"2 поколение, рестайлинг";"4WD";"208824.0";"левый";"джип/suv 5 дв.";"";"";"https://auto.drom.ru/irkutsk/toyota/rav4/291338040.html"
"Продажа Toyota RAV4, 2018 год в Иркутске";"2998000.0";"бензин, 2.5 л";"";"автомат";"205 л.с.";"";"передний";"48500.0";"левый";"джип/suv 5 дв.";"серый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/638991279.html"
"Продажа Toyota RAV4, 2020 год в Иркутске";"4050000.0";"бензин, 2.5 л";"2.5 AT 4WD Комфорт";"АКПП";"199 л.с.";"5 поколение";"4WD";"56100.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/753176327.html"
"Продажа Toyota RAV4, 2011 год в Иркутске";"1600000.0";"бензин, 2.4 л";"2.4 AT Long Престиж Плюс";"АКПП";"170 л.с.";"3 поколение, рестайлинг";"4WD";"255000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/112778865.html"
"Продажа Toyota RAV4, 2013 год в Иркутске";"1937000.0";"бензин, 2.0 л";"2.0 CVT 4WD Комфорт Плюс";"вариатор";"146 л.с.";"4 поколение";"4WD";"58000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/159492540.html"
"Продажа Toyota RAV4, 2020 год в Иркутске";"4090000.0";"бензин, 2.5 л";"2.5 AT 4WD Style";"АКПП";"199 л.с.";"5 поколение";"4WD";"55500.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/312779223.html"
"Продажа Toyota RAV4, 2011 год в Иркутске";"1750000.0";"бензин, 2.0 л";"2.0 CVT Комфорт";"вариатор";"158 л.с.";"3 поколение, 2 рестайлинг";"4WD";"176000.0";"левый";"джип/suv 5 дв.";"синий";"";"https://auto.drom.ru/irkutsk/toyota/rav4/369417408.html"
"Продажа Toyota RAV4, 2000 год в Иркутске";"780000.0";"бензин, 1.8 л";"";"АКПП";"125 л.с.";"2 поколение";"передний";"268000.0";"правый";"джип/suv 3 дв.";"красный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/539833335.html"
"Продажа Toyota RAV4, 2018 год в Иркутске";"2550000.0";"бензин, 2.0 л";"2.0 CVT 4WD Комфорт Плюс";"вариатор";"146 л.с.";"4 поколение, рестайлинг";"4WD";"150000.0";"левый";"джип/suv 5 дв.";"коричневый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/133490384.html"
"Продажа Toyota RAV4, 2010 год в Иркутске";"1648000.0";"бензин, 2.0 л";"2.0 CVT Престиж";"вариатор";"158 л.с.";"3 поколение, 2 рестайлинг";"4WD";"138300.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/289964419.html"
"Продажа Toyota RAV4, 1995 год в Иркутске";"460000.0";"бензин, 2.0 л";"";"АКПП";"135 л.с.";"1 поколение";"4WD";"90.0";"правый";"джип/suv 5 дв.";"синий";"";"https://auto.drom.ru/irkutsk/toyota/rav4/783683389.html"
"Продажа Toyota RAV4, 2022 год в Иркутске";"4700000.0";"бензин, 2.0 л";"2.0 CVT 4WD Престиж";"вариатор";"149 л.с.";"5 поколение";"4WD";"13000.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/800993918.html"
"Продажа Toyota RAV4, 2008 год в Иркутске";"1599000.0";"бензин, 2.4 л";"2.4 AT Sol";"АКПП";"170 л.с.";"3 поколение";"4WD";"145600.0";"левый";"джип/suv 5 дв.";"синий";"";"https://auto.drom.ru/irkutsk/toyota/rav4/347772994.html"
"Продажа Toyota RAV4, 2013 год в Иркутске";"1845000.0";"бензин, 2.0 л";"2.0 CVT 4WD Комфорт Плюс";"вариатор";"146 л.с.";"4 поколение";"4WD";"122000.0";"левый";"джип/suv 5 дв.";"красный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/616404238.html"
"Продажа Toyota RAV4, 2000 год в Иркутске";"870000.0";"бензин, 1.8 л";"1.8 L X";"АКПП";"125 л.с.";"2 поколение";"передний";"187650.0";"правый";"джип/suv 3 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/359205197.html"
"Продажа Toyota RAV4, 2018 год в Иркутске";"2645000.0";"бензин, 2.5 л";"2.5 AT 4WD Престиж Safety";"АКПП";"180 л.с.";"4 поколение, рестайлинг";"4WD";"225595.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/348485317.html"
"Продажа Toyota RAV4, 2011 год в Иркутске";"1635000.0";"бензин, 2.0 л";"2.0 CVT Элеганс";"вариатор";"148 л.с.";"3 поколение, 2 рестайлинг";"4WD";"168000.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/408549241.html"
"Продажа Toyota RAV4, 2020 год в Иркутске";"3450000.0";"бензин, 2.5 л";"2.5 AT 4WD Style";"АКПП";"199 л.с.";"5 поколение";"4WD";"116000.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/170389771.html"
"Продажа Toyota RAV4, 2021 год в Иркутске";"4850000.0";"бензин, 2.5 л";"2.5 AT 4WD Комфорт";"АКПП";"199 л.с.";"5 поколение";"4WD";"28000.0";"левый";"джип/suv 5 дв.";"серебристый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/257088117.html"
"Продажа Toyota RAV4, 2007 год в Иркутске";"1200000.0";"бензин, 2.4 л";"2.4 AT Limited 5 мест";"АКПП";"166 л.с.";"3 поколение";"4WD";"276000.0";"левый";"джип/suv 5 дв.";"серебристый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/275170191.html"
"Продажа Toyota RAV4, 2006 год в Иркутске";"1350000.0";"бензин, 2.0 л";"";"АКПП";"152 л.с.";"3 поколение";"4WD";"224000.0";"левый";"джип/suv 5 дв.";"серый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/381212121.html"
"Продажа Toyota RAV4, 2017 год в Иркутске";"2900000.0";"бензин, 2.5 л";"2.5 AT 4WD Престиж";"АКПП";"180 л.с.";"4 поколение, рестайлинг";"4WD";"62100.0";"левый";"джип/suv 5 дв.";"бордовый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/720354332.html"
"Продажа Toyota RAV4, 2008 год в Иркутске";"1500000.0";"бензин, 2.4 л";"2.4 AT Sol";"АКПП";"170 л.с.";"3 поколение";"4WD";"265818.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/802422807.html"
"Продажа Toyota RAV4, 2002 год в Иркутске";"899999.0";"бензин, 2.0 л";"2.0 AT 4WD";"АКПП";"150 л.с.";"2 поколение";"4WD";"230000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/885841926.html"
"Продажа Toyota RAV4, 2011 год в Иркутске";"1600000.0";"бензин, 2.0 л";"";"вариатор";"158 л.с.";"3 поколение, 2 рестайлинг";"4WD";"204000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/913403766.html"
"Продажа Toyota RAV4, 2011 год в Иркутске";"2050000.0";"бензин, 2.4 л";"2.4 AT Long Престиж Плюс";"АКПП";"170 л.с.";"3 поколение, рестайлинг";"4WD";"179824.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/299526531.html"
"Продажа Toyota RAV4, 2010 год в Иркутске";"1600000.0";"бензин, 2.4 л";"";"АКПП";"170 л.с.";"3 поколение, рестайлинг";"4WD";"135000.0";"левый";"джип/suv 5 дв.";"красный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/434232350.html"
"Продажа Toyota RAV4, 2020 год в Иркутске";"3460000.0";"бензин, 2.0 л";"2.0 CVT 4WD Престиж";"вариатор";"149 л.с.";"5 поколение";"4WD";"121000.0";"левый";"джип/suv 5 дв.";"синий";"";"https://auto.drom.ru/irkutsk/toyota/rav4/409799045.html"
"Продажа Toyota RAV4, 2006 год в Иркутске";"1300000.0";"бензин, 2.0 л";"2.0 AT Executive";"АКПП";"152 л.с.";"3 поколение";"4WD";"303423.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/885756655.html"
